customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,churned
2794,1,-0.44177295439277764,0,0,0.1023712383613841,0,1,0,0,0,2,0,2,2,0,0,2,-0.5219756496159262,957,0
4545,1,-0.44177295439277764,1,1,-0.7117434584104956,1,0,1,2,0,0,0,0,0,0,0,3,0.3374778078243394,241,0
4164,1,-0.44177295439277764,1,1,-0.7931549280876836,0,1,0,2,2,0,2,0,0,2,0,3,-0.8090131942822701,3889,0
2780,0,-0.44177295439277764,1,0,-0.2639803751859618,1,0,0,0,2,2,0,2,2,2,1,1,0.2843841579438598,1196,0
1609,1,-0.44177295439277764,1,1,-1.2816237461508113,1,0,0,0,0,0,0,0,0,0,0,2,-0.6762790695810708,3002,0
4802,1,-0.44177295439277764,0,1,1.3642490183577978,1,0,0,0,2,2,2,2,2,2,1,1,0.48348534499565887,3491,0
4860,0,-0.44177295439277764,0,0,-1.2816237461508113,1,0,2,1,1,1,1,1,1,0,0,1,-1.497571466169742,1184,0
4564,0,-0.44177295439277764,1,0,0.30589991255435406,1,2,0,0,2,0,0,0,0,0,0,1,-0.27641751891870747,1593,0
1060,0,-0.44177295439277764,1,0,1.3235432835192036,1,0,0,0,0,0,2,2,0,2,1,1,-0.17023021915774814,2605,0
1110,0,-0.44177295439277764,0,0,1.1200146093262338,1,2,0,0,0,2,2,2,2,1,0,1,0.5183280527297236,3283,0
4716,0,2.2636062032690805,0,0,-1.1188008067964355,1,0,0,2,2,0,2,0,0,0,0,1,-0.1669118660402181,1961,0
1125,0,-0.44177295439277764,1,1,-1.1188008067964355,1,0,0,2,0,0,0,0,0,0,1,3,-0.5153389433808665,1549,0
3771,0,-0.44177295439277764,0,0,-1.2409180113122174,1,0,0,2,0,0,0,0,0,0,0,3,-0.46390447005915153,342,0
981,1,-0.44177295439277764,1,1,-0.10115743583158582,1,2,0,2,2,2,2,0,0,0,0,2,0.08860132400959055,1293,0
214,1,-0.44177295439277764,1,0,0.14307697319997809,1,2,1,0,0,0,0,2,2,0,1,2,1.0111034906829266,2397,0
714,0,-0.44177295439277764,1,1,0.9164859351332638,1,0,1,0,0,0,0,0,0,2,1,1,0.1367174442137754,2626,0
1343,0,-0.44177295439277764,0,0,-0.06045170099299184,1,2,1,2,0,2,0,0,0,0,1,1,0.6576988836659831,1789,0
3231,0,2.2636062032690805,1,1,-0.1825689055087738,0,1,0,0,0,0,0,2,0,0,1,2,-0.9633166142474143,5246,0
4227,1,-0.44177295439277764,0,0,-0.6710377235719016,1,0,2,1,1,1,1,1,1,2,0,1,-1.5257774676687466,2250,0
4428,1,-0.44177295439277764,0,0,-1.0780950719578415,1,0,2,1,1,1,1,1,1,0,0,0,-1.4859572302583868,450,0
3826,1,2.2636062032690805,1,0,-0.22327464034736777,1,2,1,2,0,2,0,0,0,1,1,2,0.695859944517578,1464,0
3409,1,-0.44177295439277764,0,0,1.0386031396490458,1,2,2,1,1,1,1,1,1,2,1,1,-1.3150620447055927,694,0
1655,1,-0.44177295439277764,1,1,1.6084834273893616,1,2,1,2,2,2,2,0,2,2,1,1,1.326347036848275,4738,0
4402,0,-0.44177295439277764,0,0,-0.1825689055087738,0,1,0,0,0,2,2,0,0,0,1,3,-0.9682941439237093,5225,0
2734,1,-0.44177295439277764,1,1,0.30589991255435406,1,0,1,0,0,2,0,2,0,1,1,2,0.667653943018573,2311,0
2660,1,-0.44177295439277764,0,0,-1.2816237461508113,1,0,2,1,1,1,1,1,1,0,0,3,-1.4743429943470319,1284,1
3942,0,-0.44177295439277764,0,0,-1.1188008067964355,1,0,1,0,0,0,0,0,2,0,1,2,0.5000771105833088,2815,1
5485,0,-0.44177295439277764,0,0,-1.2816237461508113,1,0,1,0,0,0,0,0,0,0,1,2,0.14169497389007057,4368,1
4071,0,-0.44177295439277764,0,1,-0.8338606629262776,1,2,1,0,2,2,0,2,2,0,1,2,1.3396204493183947,412,0
151,1,-0.44177295439277764,0,0,-1.1188008067964355,1,0,1,0,0,0,2,2,2,0,1,2,1.034331962505636,3094,1
5315,1,-0.44177295439277764,1,0,1.5677776925507676,1,0,0,2,2,2,2,2,2,2,1,0,0.7024966507526377,3967,0
